"","lGz","age","source","Sources"
"109",13.312,63,"13model","acceptable model parameter examples"
"110",12.674,68,"13model","acceptable model parameter examples"
"111",14.592,73,"13model","acceptable model parameter examples"
"112",14.338,78,"13model","acceptable model parameter examples"
"113",7.708,83,"13model","acceptable model parameter examples"
"114",11.952,88,"13model","acceptable model parameter examples"
"115",8.296,93,"13model","acceptable model parameter examples"
"116",6.762,98,"13model","acceptable model parameter examples"
"117",9.522,103,"13model","acceptable model parameter examples"
"118",11.816,63,"14model","acceptable model parameter examples"
"119",11.866,68,"14model","acceptable model parameter examples"
"120",14.26,73,"14model","acceptable model parameter examples"
"121",14.912,78,"14model","acceptable model parameter examples"
"122",8.352,83,"14model","acceptable model parameter examples"
"123",12.564,88,"14model","acceptable model parameter examples"
"124",8.392,93,"14model","acceptable model parameter examples"
"125",6.626,98,"14model","acceptable model parameter examples"
"126",8.85800000000001,103,"14model","acceptable model parameter examples"
"127",13.872,63,"15model","acceptable model parameter examples"
"128",13.116,68,"15model","acceptable model parameter examples"
"129",14.988,73,"15model","acceptable model parameter examples"
"130",14.802,78,"15model","acceptable model parameter examples"
"131",8.088,83,"15model","acceptable model parameter examples"
"132",12.206,88,"15model","acceptable model parameter examples"
"133",8.74000000000001,93,"15model","acceptable model parameter examples"
"134",6.93600000000001,98,"15model","acceptable model parameter examples"
"135",9.56400000000001,103,"15model","acceptable model parameter examples"
"136",11.432,63,"16model","acceptable model parameter examples"
"137",10.858,68,"16model","acceptable model parameter examples"
"138",12.722,73,"16model","acceptable model parameter examples"
"139",13.032,78,"16model","acceptable model parameter examples"
"140",7.60799999999999,83,"16model","acceptable model parameter examples"
"141",11.302,88,"16model","acceptable model parameter examples"
"142",8.46,93,"16model","acceptable model parameter examples"
"143",7.13200000000001,98,"16model","acceptable model parameter examples"
"144",10.052,103,"16model","acceptable model parameter examples"
"145",12.622,63,"17model","acceptable model parameter examples"
"146",11.85,68,"17model","acceptable model parameter examples"
"147",13.992,73,"17model","acceptable model parameter examples"
"148",14.766,78,"17model","acceptable model parameter examples"
"149",7.234,83,"17model","acceptable model parameter examples"
"150",12.732,88,"17model","acceptable model parameter examples"
"151",8.79400000000001,93,"17model","acceptable model parameter examples"
"152",6.78599999999999,98,"17model","acceptable model parameter examples"
"153",10.012,103,"17model","acceptable model parameter examples"
"154",14.73,63,"18model","acceptable model parameter examples"
"155",13.434,68,"18model","acceptable model parameter examples"
"156",14.764,73,"18model","acceptable model parameter examples"
"157",14.616,78,"18model","acceptable model parameter examples"
"158",7.734,83,"18model","acceptable model parameter examples"
"159",12.194,88,"18model","acceptable model parameter examples"
"160",8.988,93,"18model","acceptable model parameter examples"
"161",7.202,98,"18model","acceptable model parameter examples"
"162",10.192,103,"18model","acceptable model parameter examples"
"163",13.84,63,"19model","acceptable model parameter examples"
"164",14.378,68,"19model","acceptable model parameter examples"
"165",15.54,73,"19model","acceptable model parameter examples"
"166",15.056,78,"19model","acceptable model parameter examples"
"167",8.174,83,"19model","acceptable model parameter examples"
