"","lGz","age","source","Sources"
"534",13.858,73,"60model","acceptable model parameter examples"
"535",13.814,78,"60model","acceptable model parameter examples"
"536",7.934,83,"60model","acceptable model parameter examples"
"537",11.508,88,"60model","acceptable model parameter examples"
"538",8.39000000000001,93,"60model","acceptable model parameter examples"
"539",6.98000000000001,98,"60model","acceptable model parameter examples"
"540",10.076,103,"60model","acceptable model parameter examples"
"541",13.372,63,"61model","acceptable model parameter examples"
"542",12.4,68,"61model","acceptable model parameter examples"
"543",14.18,73,"61model","acceptable model parameter examples"
"544",14.484,78,"61model","acceptable model parameter examples"
"545",7.38000000000001,83,"61model","acceptable model parameter examples"
"546",12.518,88,"61model","acceptable model parameter examples"
"547",9.124,93,"61model","acceptable model parameter examples"
"548",7.26999999999999,98,"61model","acceptable model parameter examples"
"549",10.082,103,"61model","acceptable model parameter examples"
"550",15.55,63,"62model","acceptable model parameter examples"
"551",14.344,68,"62model","acceptable model parameter examples"
"552",16.072,73,"62model","acceptable model parameter examples"
"553",15.402,78,"62model","acceptable model parameter examples"
"554",8.024,83,"62model","acceptable model parameter examples"
"555",12.36,88,"62model","acceptable model parameter examples"
"556",8.896,93,"62model","acceptable model parameter examples"
"557",7.092,98,"62model","acceptable model parameter examples"
"558",9.84799999999999,103,"62model","acceptable model parameter examples"
"559",11.486,63,"63model","acceptable model parameter examples"
"560",9.928,68,"63model","acceptable model parameter examples"
"561",12,73,"63model","acceptable model parameter examples"
"562",12.618,78,"63model","acceptable model parameter examples"
"563",7.35,83,"63model","acceptable model parameter examples"
"564",11.242,88,"63model","acceptable model parameter examples"
"565",8.752,93,"63model","acceptable model parameter examples"
"566",7.26800000000001,98,"63model","acceptable model parameter examples"
"567",9.966,103,"63model","acceptable model parameter examples"
"568",13.568,63,"64model","acceptable model parameter examples"
"569",13.23,68,"64model","acceptable model parameter examples"
"570",15.544,73,"64model","acceptable model parameter examples"
"571",15.53,78,"64model","acceptable model parameter examples"
"572",7.55600000000001,83,"64model","acceptable model parameter examples"
"573",12.62,88,"64model","acceptable model parameter examples"
"574",8.668,93,"64model","acceptable model parameter examples"
"575",6.826,98,"64model","acceptable model parameter examples"
"576",9.97400000000001,103,"64model","acceptable model parameter examples"
"577",12.296,63,"65model","acceptable model parameter examples"
"578",10.772,68,"65model","acceptable model parameter examples"
"579",13.282,73,"65model","acceptable model parameter examples"
"580",14.306,78,"65model","acceptable model parameter examples"
"581",7.316,83,"65model","acceptable model parameter examples"
"582",12.55,88,"65model","acceptable model parameter examples"
"583",8.29,93,"65model","acceptable model parameter examples"
"584",6.422,98,"65model","acceptable model parameter examples"
"585",10.214,103,"65model","acceptable model parameter examples"
"586",11.39,63,"66model","acceptable model parameter examples"
"587",11.5,68,"66model","acceptable model parameter examples"
"588",13.88,73,"66model","acceptable model parameter examples"
"589",14.478,78,"66model","acceptable model parameter examples"
"590",8.27,83,"66model","acceptable model parameter examples"
"591",12.39,88,"66model","acceptable model parameter examples"
"592",8.45400000000001,93,"66model","acceptable model parameter examples"
"593",6.802,98,"66model","acceptable model parameter examples"
"594",8.86199999999999,103,"66model","acceptable model parameter examples"
"595",14.258,63,"67model","acceptable model parameter examples"
"596",12.824,68,"67model","acceptable model parameter examples"
"597",13.998,73,"67model","acceptable model parameter examples"
"598",13.65,78,"67model","acceptable model parameter examples"
"599",7.802,83,"67model","acceptable model parameter examples"
"600",11.42,88,"67model","acceptable model parameter examples"
"601",8.45400000000001,93,"67model","acceptable model parameter examples"
"602",6.862,98,"67model","acceptable model parameter examples"
"603",9.32800000000001,103,"67model","acceptable model parameter examples"
"604",12.972,63,"68model","acceptable model parameter examples"
"605",10.902,68,"68model","acceptable model parameter examples"
"606",13.26,73,"68model","acceptable model parameter examples"
"607",13.812,78,"68model","acceptable model parameter examples"
"608",7.224,83,"68model","acceptable model parameter examples"
"609",12.298,88,"68model","acceptable model parameter examples"
"610",8.502,93,"68model","acceptable model parameter examples"
"611",6.766,98,"68model","acceptable model parameter examples"
"612",9.82399999999999,103,"68model","acceptable model parameter examples"
"613",14.548,63,"69model","acceptable model parameter examples"
"614",13.518,68,"69model","acceptable model parameter examples"
"615",15.334,73,"69model","acceptable model parameter examples"
"616",14.98,78,"69model","acceptable model parameter examples"
"617",7.476,83,"69model","acceptable model parameter examples"
"618",12.278,88,"69model","acceptable model parameter examples"
"619",8.654,93,"69model","acceptable model parameter examples"
"620",6.892,98,"69model","acceptable model parameter examples"
"621",9.64599999999999,103,"69model","acceptable model parameter examples"
"622",11.972,63,"70model","acceptable model parameter examples"
"623",11.71,68,"70model","acceptable model parameter examples"
"624",13.838,73,"70model","acceptable model parameter examples"
"625",14.104,78,"70model","acceptable model parameter examples"
"626",7.814,83,"70model","acceptable model parameter examples"
"627",11.84,88,"70model","acceptable model parameter examples"
"628",8.426,93,"70model","acceptable model parameter examples"
"629",6.83199999999999,98,"70model","acceptable model parameter examples"
"630",9.67400000000001,103,"70model","acceptable model parameter examples"
"631",13.634,63,"71model","acceptable model parameter examples"
"632",11.948,68,"71model","acceptable model parameter examples"
"633",13.66,73,"71model","acceptable model parameter examples"
"634",13.564,78,"71model","acceptable model parameter examples"
"635",7.136,83,"71model","acceptable model parameter examples"
"636",11.504,88,"71model","acceptable model parameter examples"
"637",8.554,93,"71model","acceptable model parameter examples"
"638",6.93399999999999,98,"71model","acceptable model parameter examples"
"639",9.31400000000001,103,"71model","acceptable model parameter examples"
"640",12.472,63,"72model","acceptable model parameter examples"
"641",12.862,68,"72model","acceptable model parameter examples"
"642",14.978,73,"72model","acceptable model parameter examples"
"643",14.868,78,"72model","acceptable model parameter examples"
"644",8.388,83,"72model","acceptable model parameter examples"
"645",11.944,88,"72model","acceptable model parameter examples"
"646",8.664,93,"72model","acceptable model parameter examples"
"647",6.89799999999999,98,"72model","acceptable model parameter examples"
"648",9.68,103,"72model","acceptable model parameter examples"
"649",11.43,63,"73model","acceptable model parameter examples"
"650",10.386,68,"73model","acceptable model parameter examples"
"651",12.394,73,"73model","acceptable model parameter examples"
"652",12.996,78,"73model","acceptable model parameter examples"
"653",7.176,83,"73model","acceptable model parameter examples"
"654",11.568,88,"73model","acceptable model parameter examples"
"655",8.75,93,"73model","acceptable model parameter examples"
"656",7.13200000000001,98,"73model","acceptable model parameter examples"
"657",9.668,103,"73model","acceptable model parameter examples"
"658",11.846,63,"74model","acceptable model parameter examples"
"659",12.75,68,"74model","acceptable model parameter examples"
"660",13.956,73,"74model","acceptable model parameter examples"
"661",13.714,78,"74model","acceptable model parameter examples"
"662",8.438,83,"74model","acceptable model parameter examples"
"663",11.124,88,"74model","acceptable model parameter examples"
"664",8.622,93,"74model","acceptable model parameter examples"
"665",7.154,98,"74model","acceptable model parameter examples"
"666",10.096,103,"74model","acceptable model parameter examples"
"667",11.474,63,"75model","acceptable model parameter examples"
"668",9.72599999999999,68,"75model","acceptable model parameter examples"
"669",12.386,73,"75model","acceptable model parameter examples"
"670",13.34,78,"75model","acceptable model parameter examples"
"671",7.522,83,"75model","acceptable model parameter examples"
"672",11.978,88,"75model","acceptable model parameter examples"
"673",8.68000000000001,93,"75model","acceptable model parameter examples"
"674",6.95400000000001,98,"75model","acceptable model parameter examples"
"675",9.922,103,"75model","acceptable model parameter examples"
"676",12.24,63,"76model","acceptable model parameter examples"
"677",11.012,68,"76model","acceptable model parameter examples"
"678",12.784,73,"76model","acceptable model parameter examples"
"679",13.07,78,"76model","acceptable model parameter examples"
"680",7.18399999999999,83,"76model","acceptable model parameter examples"
"681",11.584,88,"76model","acceptable model parameter examples"
"682",8.742,93,"76model","acceptable model parameter examples"
"683",7.25,98,"76model","acceptable model parameter examples"
"684",9.812,103,"76model","acceptable model parameter examples"
"685",11.888,63,"77model","acceptable model parameter examples"
"686",11.634,68,"77model","acceptable model parameter examples"
"687",14.108,73,"77model","acceptable model parameter examples"
"688",14.614,78,"77model","acceptable model parameter examples"
"689",7.98399999999999,83,"77model","acceptable model parameter examples"
"690",12.434,88,"77model","acceptable model parameter examples"
"691",8.41600000000001,93,"77model","acceptable model parameter examples"
"692",6.75799999999999,98,"77model","acceptable model parameter examples"
"693",9.6,103,"77model","acceptable model parameter examples"
"694",12.578,63,"78model","acceptable model parameter examples"
"695",12.414,68,"78model","acceptable model parameter examples"
"696",14.34,73,"78model","acceptable model parameter examples"
"697",14.7,78,"78model","acceptable model parameter examples"
"698",7.392,83,"78model","acceptable model parameter examples"
"699",12.254,88,"78model","acceptable model parameter examples"
"700",8.354,93,"78model","acceptable model parameter examples"
"701",6.358,98,"78model","acceptable model parameter examples"
"702",9.554,103,"78model","acceptable model parameter examples"
"703",12.438,63,"79model","acceptable model parameter examples"
"704",11.108,68,"79model","acceptable model parameter examples"
"705",13.18,73,"79model","acceptable model parameter examples"
"706",13.662,78,"79model","acceptable model parameter examples"
"707",7.322,83,"79model","acceptable model parameter examples"
"708",11.94,88,"79model","acceptable model parameter examples"
"709",8.976,93,"79model","acceptable model parameter examples"
"710",7.21799999999999,98,"79model","acceptable model parameter examples"
"711",9.672,103,"79model","acceptable model parameter examples"
"712",11.814,63,"80model","acceptable model parameter examples"
"713",11.486,68,"80model","acceptable model parameter examples"
"714",14.718,73,"80model","acceptable model parameter examples"
"715",14.916,78,"80model","acceptable model parameter examples"
"716",7.78200000000001,83,"80model","acceptable model parameter examples"
"717",12.482,88,"80model","acceptable model parameter examples"
"718",8.374,93,"80model","acceptable model parameter examples"
"719",6.72,98,"80model","acceptable model parameter examples"
"720",8.9,103,"80model","acceptable model parameter examples"
"721",13.658,63,"81model","acceptable model parameter examples"
"722",14.078,68,"81model","acceptable model parameter examples"
"723",15.078,73,"81model","acceptable model parameter examples"
"724",14.538,78,"81model","acceptable model parameter examples"
"725",7.526,83,"81model","acceptable model parameter examples"
"726",11.94,88,"81model","acceptable model parameter examples"
"727",8.812,93,"81model","acceptable model parameter examples"
"728",7.158,98,"81model","acceptable model parameter examples"
"729",9.85799999999999,103,"81model","acceptable model parameter examples"
"730",12.416,63,"82model","acceptable model parameter examples"
"731",11.398,68,"82model","acceptable model parameter examples"
"732",14.192,73,"82model","acceptable model parameter examples"
"733",14.634,78,"82model","acceptable model parameter examples"
"734",8.094,83,"82model","acceptable model parameter examples"
"735",12.532,88,"82model","acceptable model parameter examples"
"736",8.53399999999999,93,"82model","acceptable model parameter examples"
"737",6.86800000000001,98,"82model","acceptable model parameter examples"
"738",10.05,103,"82model","acceptable model parameter examples"
"739",11.892,63,"83model","acceptable model parameter examples"
"740",11.662,68,"83model","acceptable model parameter examples"
"741",13.472,73,"83model","acceptable model parameter examples"
"742",13.712,78,"83model","acceptable model parameter examples"
"743",7.75600000000001,83,"83model","acceptable model parameter examples"
"744",11.414,88,"83model","acceptable model parameter examples"
"745",8.786,93,"83model","acceptable model parameter examples"
"746",7.098,98,"83model","acceptable model parameter examples"
"747",10.014,103,"83model","acceptable model parameter examples"
"748",13.142,63,"84model","acceptable model parameter examples"
"749",13.072,68,"84model","acceptable model parameter examples"
"750",14.306,73,"84model","acceptable model parameter examples"
"751",14.206,78,"84model","acceptable model parameter examples"
"752",7.796,83,"84model","acceptable model parameter examples"
"753",11.66,88,"84model","acceptable model parameter examples"
"754",8.35,93,"84model","acceptable model parameter examples"
"755",6.61600000000001,98,"84model","acceptable model parameter examples"
"756",9.774,103,"84model","acceptable model parameter examples"
"757",13.7600731599375,63,"observation (5-yr. average)","observation"
"758",11.9321819203907,66,"observation (5-yr. average)","observation"
"759",13.603523015453,71,"observation (5-yr. average)","observation"
"760",13.713545032374,76,"observation (5-yr. average)","observation"
"761",13.0767932051942,82,"observation (5-yr. average)","observation"
"762",10.2796784968075,88,"observation (5-yr. average)","observation"
"763",11.2721636427982,93,"observation (5-yr. average)","observation"
"764",4.79564306119247,98,"observation (5-yr. average)","observation"
"765",10.492971894326,103,"observation (5-yr. average)","observation"
"766",13.25,63,"model best_fit","model best fit"
"767",12.64,68,"model best_fit","model best fit"
"768",14.384,73,"model best_fit","model best fit"
"769",14.14,78,"model best_fit","model best fit"
"770",7.292,83,"model best_fit","model best fit"
"771",11.452,88,"model best_fit","model best fit"
"772",7.696,93,"model best_fit","model best fit"
"773",5.90399999999998,98,"model best_fit","model best fit"
"774",9.50600000000001,103,"model best_fit","model best fit"
"775",7.178,63,"model original parameters","model original parameters"
"776",5.124,68,"model original parameters","model original parameters"
"777",7.14,73,"model original parameters","model original parameters"
"778",7.952,78,"model original parameters","model original parameters"
"779",4.38199999999999,83,"model original parameters","model original parameters"
"780",9.09000000000001,88,"model original parameters","model original parameters"
"781",7.052,93,"model original parameters","model original parameters"
"782",6.478,98,"model original parameters","model original parameters"
"783",7.148,103,"model original parameters","model original parameters"
