"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
"798",-0.800674536394424,-0.000802962046136212,0.880140821247994,-0.110353332956728,-1.62124383157878,-0.0295027677417239,2.99806026413406,0.287779710063785,3.91091056942233,4.97378160463723,-0.285898551279412,2.73830798449073,4.00576108123477,-0.059130423439709,-8.2288593697402,-0.00315630618557031,0.942975044975889,-0.074529385642933,-0.0665374396623416,0.632124163026021,2.59677689187153,4.18989407233271
"2641",-2.69679875660283,-0.000811116847260689,0.810867179500954,-0.104484077345024,-1.62941013765175,-0.0359100489231338,2.56970437979019,2.80646311812443,4.82999580095556,5.48561671055681,-0.279009560792705,2.42508133667955,3.57309150304232,-0.0621000132551479,-9.3089278260704,-0.00247217159380689,1.05740593329921,-0.0716846308086899,-0.0378503946342192,0.591585250388589,3.05587417726677,4.15946340525058
"3829",-1.36860970215857,-0.000780404035548895,0.877360331421872,-0.108789081017709,-1.6281477086863,-0.0321549428330749,2.54195233558647,1.23683867660094,4.08615201430986,5.07565205670643,-0.27979227948595,2.11133468713716,3.90191756118538,-0.0596338343857427,-8.78698195212885,-0.00309666332237077,1.3126238695054,-0.0613800396408989,-0.033602508144993,0.556732927229028,3.13431342319492,2.55971608334975
"5159",-1.01307917886227,-0.000811246857934536,0.826577514493149,-0.106522152460565,-1.61648393397694,-0.0361182950123386,2.45512452675901,1.17406525253447,4.2281805667781,5.40146717031059,-0.272902025423847,2.42475403468982,3.81310419107427,-0.0545823130022759,-8.34176150766823,-0.00292734071840768,0.947325285498372,-0.0448297291946927,-0.0616405951526907,0.57670421187485,2.43319742805943,4.26187474083205
"6767",-0.643919760864302,-0.000893486520518602,0.803313948582337,-0.108773182103912,-1.62680446546625,-0.0306574920041773,3.40853760286085,0.0236293675384749,4.73379634216621,3.36266516689415,-0.285263099366469,2.49329932002554,3.97072875174048,-0.0554450090765077,-8.7859146800217,-0.00257288678454043,1.35051050921248,-0.0495853486904001,-0.0563501241510464,0.559484494572899,2.92710325631128,2.34006827483154
"8140",-2.44638394648649,-0.000854640834884579,0.764884159895381,-0.107323257997203,-1.62814839099585,-0.0268185477201749,3.8198855471785,1.7319508348819,3.96067043177068,4.79807365757773,-0.292371910157535,2.72921233738281,3.85107426399439,-0.0603096002043664,-8.61586571578336,-0.0020888599331445,0.871033369682544,-0.0624634096355494,-0.0343607274644698,0.669097681139944,2.56701697690135,4.38663476877062
"8830",-1.83820750908893,-0.000813437298480394,0.799484760160626,-0.104150764429102,-1.61693310204906,-0.0313557832729913,3.22427355172169,1.44777398838677,2.14707047356915,6.07012025158336,-0.270611616264043,2.15211086466851,3.89936492848051,-0.0536887293434103,-9.81449703040772,-0.0020329539587196,0.93821855539636,-0.0480629094430383,-0.045966679255216,0.649286949392548,3.10085700976187,4.65951009608145
"9479",-0.467871224690772,-0.000897472863235314,0.785342106824862,-0.107825721305178,-1.61701225337519,-0.0380115530267143,2.83095873237342,0.420039024694445,2.59759819615314,4.91487617725187,-0.286799720946588,2.52079763887794,3.88888687470526,-0.0597674317731591,-8.83124938098749,-0.00249601900876638,1.2648556462281,-0.0410554051759556,-0.0511696699310072,0.577179774931003,2.72486278674554,2.8911304492821
"16163",-0.564673350150682,-0.00078389419496313,0.813471149354513,-0.104495725728249,-1.63229000980133,-0.0378446186547054,3.19652713691415,0.196041109553115,2.58864504530293,6.27405365301681,-0.293725080447642,2.68387266192651,4.06134278358889,-0.0541492262008345,-9.06061555265015,-0.0029967476060576,0.961514922874898,-0.0438642969495497,-0.042672554128257,0.641663433494002,2.86533545320644,4.45116762464031
"18678",-2.17645766538432,-0.000801315612808799,0.838445449959376,-0.111950839120446,-1.631223499141,-0.0387646333977022,2.87965749999954,2.08007084752403,2.75651986498615,6.07749056378867,-0.299009612217651,2.09023851295861,3.5732145168947,-0.0525316033312229,-8.09985556515489,-0.00258593165029362,0.905460243357528,-0.0455781678792425,-0.0361982589088492,0.643090957385739,3.04080609558171,3.44686891754542
